FeatureID, LocationID
970PV,CUVAWetlnd142
1079RS2,CUVAWetlnd151
28,CUVAWetlnd172
29,CUVAWetlnd173
30,CUVAWetlnd174
32,CUVAWetlnd175
39,CUVAWetlnd176
43,CUVAWetlnd177
56,CUVAWetlnd178
192,CUVAWetlnd179
305,CUVAWetlnd180
306,CUVAWetlnd181
307,CUVAWetlnd182
309,CUVAWetlnd183
310,CUVAWetlnd184
311,CUVAWetlnd185
317,CUVAWetlnd186
343,CUVAWetlnd187
351,CUVAWetlnd188
363,CUVAWetlnd189
413,CUVAWetlnd190
416,CUVAWetlnd191
422,CUVAWetlnd192
623,CUVAWetlnd193
627,CUVAWetlnd194
669,CUVAWetlnd195
676,CUVAWetlnd196
692,CUVAWetlnd197
697,CUVAWetlnd198
743,CUVAWetlnd199
748,CUVAWetlnd200
867,CUVAWetlnd201
885,CUVAWetlnd202
887,CUVAWetlnd203
889,CUVAWetlnd204
927,CUVAWetlnd205
939,CUVAWetlnd206
941,CUVAWetlnd207
947,CUVAWetlnd208
950,CUVAWetlnd209
951,CUVAWetlnd210
953,CUVAWetlnd211
957,CUVAWetlnd212
1485,CUVAWetlnd213
1007,CUVAWetlnd214
1017,CUVAWetlnd215
1034,CUVAWetlnd216
1036,CUVAWetlnd217
1058,CUVAWetlnd218
1068,CUVAWetlnd219
1069,CUVAWetlnd220
1070,CUVAWetlnd221
1188,CUVAWetlnd223
1196,CUVAWetlnd224
1205,CUVAWetlnd225
1221,CUVAWetlnd226
1351,CUVAWetlnd227
1364,CUVAWetlnd228
1468,CUVAWetlnd229
